hatespeech,subtype,text
1,1,"@R10Vojko Hm.

Če bi v Ambrusu mislili kot vi, bi jih Strojani, ob za njih nedelujoči policiji in pravosodju, še vedno terorizirali ..."
0,0,"@DKosir7 Bo pa ""mahanje z orbanizacijo"" treba zdaj malo omehčat!
Že imate adekvaten nadomestek?"
0,0,"@miro5ek Pa naj po mejlu sporočijo kar sporočijo. Ne ljudi gnjaviti, čeprav so novinarji."
1,3,"No, pa smo končno dočakali razkritje, kateri babji lik je bil podlaga za Serpentinškove “babe zmešane”.#Bingo https://t.co/JZKfP36OEe"
0,0,"Slaba tolažba za vse katerih ""dosežki"" doprinesejo malo ali pa nič k BDP. https://t.co/ELaduoajCp"
0,0,@leaathenatabako Nič se nea obojni šparajo. Zadnjih 20 minut bojo vsi na škrge dihali 😳
0,0,"RK Trimo Trebnje - RD Riko Ribnica 29:28.
Trebanjci z delnim izidom 6:1 ob koncu tekme prišli do zmage.
#Rokomet #Handball #NLBliga"
0,0,"Uvoženi madridski policaji ""ščitijo"" volišča in streljajo z gumijastimi naboji. WTF ?"
1,2,"@medeja Brinovček je za ženske težave, dokler sta še 2 spola, potem bo drugače."
1,4,"""Večgeneracijske posledice"" migracij iz islamskih držav.... https://t.co/bFQjUoG3FI"
0,0,ZAČETEK TEKME: @KK_Tajfun VS @PartizanBC. PRVA PETORKA: Bratož - Čebular - S. Sebič - Drobnjak - Bolčina. @ABA_League #ABALiga #Šentjur
0,0,Kriptomilijonar odštel 4 milijone evrov za kosilo z Buffetom https://t.co/cf4uMvIduH
0,0,"@oggctopus Pizda, a tok ti je zadogajala? En mal velik jamra mogoče, se ti ne zdi. Pogrešam groove! :) No ja, vsakomur svoje :)"
1,1,"@cnfrmstA Dajmo na lestvico še kakšnega reveža, pa reven naj ostane. Cigana ali črnca.  #kvote"
1,3,"Če teorije spola kot zablode človeškega razuma ne bomo kmalu zaustavili, se nam slabo piše! #volitve2018 https://t.co/rYckDbUK5E"
1,2,"@ales_primc To je samo zunanjost. Notri pa jih razjeda, zato so pasji. Tudi zelo znan obraz lgtb, se ne more pogledati v ogledalo."
1,1,"@Alex4Aleksandra @krtmen Kretensko bolano !!! Willkomen politika je samomorilska! Fajon,Vajgl Soltes se mi gabijo!!!!"
0,0,Edinost sreča sprava prelepe žlahtne rožice Otrok kar ima Slava naprej naj bo Slovencev dom; da rojak naj živi jo srčno branit klical čas
1,1,@phikoss @ZigaTurk @Svarun_K @PStendler @NovaSlovenija nerojeni cigančki #iška so sporočali wermachtu
0,0,"3 dni s polpenzionom, masažo ter neomejenim kopanjem in savnanjem, za 2 osebi, že od 159 € namesto 318 €! https://t.co/aqAafM7yvq"
0,0,"Všeč mi je videoposnetek @YouTube https://t.co/ZBbHfeIECB DOBRODOŠLA, ZELENA POŠAST! (Fordov poklon filmu Bullit s Stevom"
1,2,"@BRajgelj Kot je gospod rekel, nabijajte se v rit, ližite se kjer vam paše, dojite pse ... karkoli, a to delajte za zidovi svojih stanovanj!"
0,0,Salvatore Aronica ključna vez med mafijskimi družinami #fuzbal #nogomet #ligaprvakov - http://t.co/nh0ubcoq
0,0,"Jutri v @Delo Sobotna tema o varnosti v gorah, vodnikih in izgubljenem stiku z naravo."
1,4,@Zurnal_24 Naj raje povabi Merklova in ji pove da naj z Lufthanso direkt v Nemčijo pripeljejo muslimane in s tem ne bi ogrožala cele Evrope
0,0,"@krtmen Priznaj, odkar je Trump spustil raketo na musli generala, se stvari same razpletajo v pravo smer. Temu se reče preciznost."
0,0,"@KaktusKaktus Hja, le osvesti se.. prec se ti lahko zgodi, da naslednjič ko greš mimo teh čopsov dobiš špric deodoranta, pa ne pod pajsko.."
0,0,"@mrevlje @petra_jansa Če se odenejo v bolj formalna oblačila, se bo moralo tudi v glavi kaj premakniti.(Pygmalion)"
0,0,"Pohitite, ob 17h se v Galeriji Vžigalica začne prikaz postopkov oživljanja! https://t.co/UqyAKK3eQb"
1,1,"@PreglArjan @ZigaTurk In zato so levičarji za proste migracije ljudi tuje vere, tuje kulture, ki jim je zapovedan cilj uničiti Evropo."
0,0,"Najbolj vroca vadba ta hip, PILOXING KNOCKOUT z Dono Pavlovic v Sportclubu. https://t.co/10rHLx8oDe"
0,0,Kaj VI zmorete nima zveze s Planico...niti makete ne znate spedenat... https://t.co/X5Zd6uCP82
1,2,NE DAJMO SI UBITI SVOJ LASTEN NAROD IN OHRANIMO TRADICIONALNO DRUŽINO! https://t.co/GaCNSYSZsn
0,0,#alessandro naj vas razvaja v adventnem času! ♥️V omejeni izdaji!!! https://t.co/8gv3vPPGF8
1,3,"Blondinka. Grem staviti, da ne ve, kaj traktor sploh tanka? Še manj kaj njen kolega! https://t.co/dzHZ0GgsYb"
1,4,"@strankaNLS ja nimaš kaj  fištrek si je vzel za vzgled unega opankarja , sam še džamija vam fali v MB"
1,2,@GPreac Samo tega levaki in ritni nastavljači nočejo in nočejo dojeti.Prej bi to človek živali dopovedal.
1,3,"@lucijausaj Kaj pa dame porečejo? So menstrualne koledarčke izgubile/pomešale, ali le pamet založile?"
0,0,Iz karantene so pred kratkim izbrisali domeno nogavicka.si https://t.co/kriQmq0N60 #domain #expireddomain
1,3,"@had @JureGlo Taka rit vzbuja pozitivne občutke, ne pa degutantnih. Drugič eno grdo, debelo in kosmato prosim, da si mal bruhnem v usta."
1,1,"@vinkovasle1 Žal tako je 😧 ne razumem zakaj Slovenci tako radi trumoma rinejo k Hrvatom, kjer jih samo izkoriščajo in malo dajejo 🤮"
1,3,@lukavalas Koliko materinih možganskih celic propade pri porodu? Včasih imam občutek da kar pretežen del...
1,1,@FranciDonko  domoljubna oddaja gostja pa neka zavaljena Hrvatica??? Sramotno!
1,1,"Hrvati nam orenk sranje delajo,če bo šlo tako naprej bomo meli v domačem morju hrvaško vojno mornarico.Klinc jih... https://t.co/oGCsaHOtm0"
1,1,@kokochannel12 @Fitzroy1985 @BRajgelj @strankaSDS V balkanski ritni luknji torej!
1,2,"@majsanom @BineTraven @cikibucka Kakšna parada ponosa neki? Zato ker se je narava poigrala z vašimi možgani, ste vi ponosni? Res?"
0,0,@borutjanc Poslanec v vaski gostilni soseda na gobec in mu povzroci lahko telesno poskodbo?
1,4,Golazen alahovska mohamedanska kozjejebske. Garje moderne Evrope. Zveri primitivne. Drhal živalska obrezana https://t.co/1xA4Idwkcs
1,1,"@si_supervizor Ej Balkanće, zakaj žališ našo državo?
Če bi šel od koder si se privlekel, bi bilo za vse najbolje."
0,0,@Stanisl15592752 Krempi je popolni abstinent že par let! Popolni! Sok pa Radensko!
1,4,"Če bodo domoljuPci še nakladali o islamskih teroristih, naj se malo vprašajo, kdo jih sponzorira.
https://t.co/x7ESZ40yHL"
0,0,"PETEK  27. OKTOBER

Luna prehaja iz kozoroga v vodnarja     
Nemirni in nepotrpežljivi bomo. Vse to nas bo... https://t.co/EB7CgbfVpN"
1,1,"@mrevlje @edvardkadic 😂😂😂😂

Pozabu si se enga čefurja ki mal popravi obupno slovensko igralnisko prakso 😂😂😂"
1,1,Trdnjava Evropa – Evropo lahko reši le obramba z vsemi sredstvi! https://t.co/ab6YKwByJP via @Nova24TV
0,0,"Batagelj glede Certe Holding: Prevzem je bil težak, a rezultat je sladek https://t.co/gQInRCcDmR #podjetja"
0,0,Nocoj v raketnem izstrelišču @channelzero1: Farflung (live) https://t.co/zmg4GmjMUX #muzika
1,1,@vinkovasle1 Pred takimi in podobnimi bi se še Eritrejci pognali v dir nazaj proti afriškemu rogu!🥳
0,0,"Na ljubljanski tržici prodajajo krofe brez aditivov....aha brez marmelade torej, samo tako se sliši bolj učeno #sampovem #vkoraksčasom"
0,0,"@p2035e @DenisBolcina @D_Jasmina @ZigaTurk Čudno, da Turk ne ve kaj govori, ko ga pa čisto dobro razumemo."
1,1,"@MihaMarkic Tole je en kurac, brez raket, kako bo pa Sirijo napadla tale ladjica?"
1,3,"Mesto ženske?! Mesto ""moškinj""! Mesto frustracij, norosti, nebrzdanega feminizma. Mesto ideoloških kretenizmov! https://t.co/0KuUP653p0"
0,0,"@hrastelj @nadkaku Upam da se tako uredi, da še mi pridemo takrat gor. To bi bilo dobro, bo tak šunder, da ves šoder odnese.😁"
1,1,"V SLO so ostali najbolj butasti balkanoidi, ki se niso mogli naučiti nemščine.
Mi smo ""brihtni"", jih razumemo in se jim ni treba prilagajati"
1,4,"@MajaBentura @JakaDolinar2 @Nova24TV Pobit kot komarje, jebem jim mater njihove vere."
1,2,"@Alex4Aleksandra Ne da se mi več teh norih LGBTjevcev komentirati, ker mi hitro živec potegnejo."
0,0,"@GPreac Kor religija miru si predstavljajo: ""Če ženo dobro nagarbaš, maš potem mir!"""
0,0,#Brizgalni tiskalniki v spletni trgovini #MEGABITE - Brezplačna in hitra dostava. Nakup na obroke! #Grenke #Leasing! https://t.co/iiDjFf72Xz
1,2,"Kakšen moški? To je buzerant, sodomist, parazit in verjetno se kaj https://t.co/aRRBiQVNz6"
0,0,"@Nova24TV @cesenj Kakšne transakcije? računi blokirani, firma u ku..., oni pa perejo ?"
1,1,"saj ni čudno,da s(m)o s!lovenci poblazneli - tudi Američanom je ""trava"" razžrla tesnila na ""ferštandskeslih"" .... https://t.co/zBW3HzAM0B"
1,3,"ko je bil dec še dec, baba pa baba...
#učasjeblobolš https://t.co/93djGTRZuO"
1,1,"@SiolNEWS od migrantov iz tujine? V ZD Škofja Loka so fasali ošpice od delavcev iz tujine,  ki delajo v tovarni izolacijskih materialov."
1,3,"Nič me ne vzburja bolj kot pogled na gole gležnje pri -5. Muslimani že vedo, zakaj jih svojim babam skrivajo."
0,0,"Jutri z nami... 6pack's suMer spritzer 💚Ⓜ 
#punpisker #maribor #trgleonastuklja https://t.co/5AEnAQaXgB"
1,1,Mater luka Koper sami juznjaki na vodilnih mestih  kam gre ta gnila Slovenija zakaj smo se osamosvojil mater so me nategnal banda
1,3,"Na svetu ni pravice, pravijo, da ženske nosijo tri vogale pri hiši, nihče pa ne pove, da moški nosi žensko. https://t.co/b9dBjI1Gg0"
