title,hatespeech,subtype,text
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Merkel would never say NO
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Expect more and more women to be asking .. ""why are men no longer interested in me""! We're not going touch you until you pull our pants down!"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"Groping people in public wasn't already illegal? What's up with that, Deutschland?"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Merkel, possible the only person in charge who is worse than what we have. Obama is trying his hardest though to get to Merkel's level. ""A 21-year-old Iraqi man was convicted of sexual assault and given a one-year suspended sentence. A 26-year-old Algerian man was convicted of abetting a sexual assault and attempted assault, and given the same sentence."" Sounds exactly like how Obama is trying to let all of the black people in this country get away with everything."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"They know very well, no means NO! They need to pass a law making it legal to castrate those animals."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,look like merkel just want to get laid
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,""" but criticized two measures in the bill that could see people who aren't directly involved in the assault punished and foreigners deported for sexual harassment"" Sounds like some German Legislators have the same mental disease the Democrats and Republicans who opposed Kate's Law had. Deporting people who are not citizens for acting like savages - how cruel!! (sarcasm)"
German lawmakers approve 'no means no' rape law after Cologne assaults,0,-1,"She said ""GO"", not ""NO"" ~ ~ Slime ball Lawyers everywhere."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"So, how many sexual assaults would there be if Muslims were burned in ovens?"
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,Probably a lot less. What's your point?
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"In true liberal fashion, an ordinance that no means no, was passed. That will end all rapes by muslimes in Fatherland."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,The Russians raped millions of German women and children at the end of WWII. Now the German people have to contend with this bunch of savages? How pathetic is it that a country has to cow-tow to a hoard of uncivilized migrants. Take your country back Germany.
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Great, now lets have a talk with Africa."
German lawmakers approve 'no means no' rape law after Cologne assaults,1,3,"Imagine that, Muslims are the problem...?"
